source_id,source_kind,x_code,y_code,z_code,q_group_0_s,q_group_1_s,q_group_2_s,q_group_3_s,q_group_4_s,q_group_5_s,q_group_6_s,q_group_7_s,q_group_8_s
1903,star,0.77691155141996471,0.033316828194942083,0.042370230965723711,6.2601290049024805e+51,8.3535933614817014e+51,1.104746307862359e+51,8.9140126990643283e+49,3.6724749987768442e+47,1.4031818947787818e+47,4.0687846230914334e+45,1.3088203607348371e+38,114351.94925737802
1904,star,0.89588753442829905,0.057068729219239361,0.1080021022983722,6.2601290049024805e+51,8.3535933614817014e+51,1.104746307862359e+51,8.9140126990643283e+49,3.6724749987768442e+47,1.4031818947787818e+47,4.0687846230914334e+45,1.3088203607348371e+38,114351.94925737802
1905,star,0.49620589156852662,0.39648312331960717,0.28410373410042739,6.2868695695363333e+51,8.378178993532269e+51,1.1087356759332777e+51,8.954842972886159e+49,3.6898845464566977e+47,1.4114186516231503e+47,4.0979450194423411e+45,1.3189411712410733e+38,114894.575417863
1906,star,0.48437594211507351,0.3884371534342399,0.27727952949947243,6.2868695695363333e+51,8.378178993532269e+51,1.1087356759332777e+51,8.954842972886159e+49,3.6898845464566977e+47,1.4114186516231503e+47,4.0979450194423411e+45,1.3189411712410733e+38,114894.575417863
1907,star,0.48731195825614126,0.38905420133919605,0.27672408677828364,6.2868695695363333e+51,8.378178993532269e+51,1.1087356759332777e+51,8.954842972886159e+49,3.6898845464566977e+47,1.4114186516231503e+47,4.0979450194423411e+45,1.3189411712410733e+38,114894.575417863
1908,star,0.48710183751690617,0.38886547938144916,0.27668409537281508,6.2868695695363333e+51,8.378178993532269e+51,1.1087356759332777e+51,8.954842972886159e+49,3.6898845464566977e+47,1.4114186516231503e+47,4.0979450194423411e+45,1.3189411712410733e+38,114894.575417863
1909,star,0.30996920587632326,0.43493459714232241,0.26457089104317466,6.2868695695363333e+51,8.378178993532269e+51,1.1087356759332777e+51,8.954842972886159e+49,3.6898845464566977e+47,1.4114186516231503e+47,4.0979450194423411e+45,1.3189411712410733e+38,114894.575417863
1910,star,0.4100177846341958,0.27678914770410068,0.34423453451966834,6.2868695695363333e+51,8.378178993532269e+51,1.1087356759332777e+51,8.954842972886159e+49,3.6898845464566977e+47,1.4114186516231503e+47,4.0979450194423411e+45,1.3189411712410733e+38,114894.575417863
1911,star,0.35027873550232891,0.2956336437152286,0.34813383053699981,6.2868695695363333e+51,8.378178993532269e+51,1.1087356759332777e+51,8.954842972886159e+49,3.6898845464566977e+47,1.4114186516231503e+47,4.0979450194423411e+45,1.3189411712410733e+38,114894.575417863
1912,star,0.3860543156315554,0.28806294560700013,0.34803979442247657,6.2868695695363333e+51,8.378178993532269e+51,1.1087356759332777e+51,8.954842972886159e+49,3.6898845464566977e+47,1.4114186516231503e+47,4.0979450194423411e+45,1.3189411712410733e+38,114894.575417863
1913,star,0.23895956490822184,0.040770919234002626,0.39717561606435903,6.2868695695363333e+51,8.378178993532269e+51,1.1087356759332777e+51,8.954842972886159e+49,3.6898845464566977e+47,1.4114186516231503e+47,4.0979450194423411e+45,1.3189411712410733e+38,114894.575417863
1914,star,0.30218411462806355,0.28786541099119684,0.86879736964407916,6.2868695695363333e+51,8.378178993532269e+51,1.1087356759332777e+51,8.954842972886159e+49,3.6898845464566977e+47,1.4114186516231503e+47,4.0979450194423411e+45,1.3189411712410733e+38,114894.575417863
1915,star,0.11309576717901891,0.62663755867331028,0.56846968252231234,6.2868695695363333e+51,8.378178993532269e+51,1.1087356759332777e+51,8.954842972886159e+49,3.6898845464566977e+47,1.4114186516231503e+47,4.0979450194423411e+45,1.3189411712410733e+38,114894.575417863
1916,star,0.11339640177394551,0.62680575113929604,0.56854930210184151,6.2868695695363333e+51,8.378178993532269e+51,1.1087356759332777e+51,8.954842972886159e+49,3.6898845464566977e+47,1.4114186516231503e+47,4.0979450194423411e+45,1.3189411712410733e+38,114894.575417863
1917,star,0.40801118456849567,0.82012092830887828,0.68849053826194773,6.2868695695363333e+51,8.378178993532269e+51,1.1087356759332777e+51,8.954842972886159e+49,3.6898845464566977e+47,1.4114186516231503e+47,4.0979450194423411e+45,1.3189411712410733e+38,114894.575417863
1918,star,0.1754042930734476,0.8551646038193057,0.097364058020464911,6.2868695695363333e+51,8.378178993532269e+51,1.1087356759332777e+51,8.954842972886159e+49,3.6898845464566977e+47,1.4114186516231503e+47,4.0979450194423411e+45,1.3189411712410733e+38,114894.575417863
1919,star,0.17530260850610901,0.85498933900151408,0.096657930992025631,6.2868695695363333e+51,8.378178993532269e+51,1.1087356759332777e+51,8.954842972886159e+49,3.6898845464566977e+47,1.4114186516231503e+47,4.0979450194423411e+45,1.3189411712410733e+38,114894.575417863
1920,star,0.33374789111276026,0.60217275992978836,0.17254026162238487,6.2868695695363333e+51,8.378178993532269e+51,1.1087356759332777e+51,8.954842972886159e+49,3.6898845464566977e+47,1.4114186516231503e+47,4.0979450194423411e+45,1.3189411712410733e+38,114894.575417863
1921,star,0.40810056338374417,0.9554394323643024,0.50359351291414611,6.2868695695363333e+51,8.378178993532269e+51,1.1087356759332777e+51,8.954842972886159e+49,3.6898845464566977e+47,1.4114186516231503e+47,4.0979450194423411e+45,1.3189411712410733e+38,114894.575417863
1922,star,0.64104317422420842,0.36699982407384674,0.77851599946181271,6.2868695695363333e+51,8.378178993532269e+51,1.1087356759332777e+51,8.954842972886159e+49,3.6898845464566977e+47,1.4114186516231503e+47,4.0979450194423411e+45,1.3189411712410733e+38,114894.575417863
1923,star,0.58567649583293135,0.15467209906421922,0.49266025098843297,6.2868695695363333e+51,8.378178993532269e+51,1.1087356759332777e+51,8.954842972886159e+49,3.6898845464566977e+47,1.4114186516231503e+47,4.0979450194423411e+45,1.3189411712410733e+38,114894.575417863
1924,star,0.73694800210972533,0.33151845480512943,0.05334456197493441,6.2868695695363333e+51,8.378178993532269e+51,1.1087356759332777e+51,8.954842972886159e+49,3.6898845464566977e+47,1.4114186516231503e+47,4.0979450194423411e+45,1.3189411712410733e+38,114894.575417863
1925,star,0.73469443318708449,0.34593779411354081,0.05187908767392916,6.2868695695363333e+51,8.378178993532269e+51,1.1087356759332777e+51,8.954842972886159e+49,3.6898845464566977e+47,1.4114186516231503e+47,4.0979450194423411e+45,1.3189411712410733e+38,114894.575417863
1926,star,0.77692250149630504,0.033305986537607225,0.042343985558680082,6.2868695695363333e+51,8.378178993532269e+51,1.1087356759332777e+51,8.954842972886159e+49,3.6898845464566977e+47,1.4114186516231503e+47,4.0979450194423411e+45,1.3189411712410733e+38,114894.575417863
1927,star,0.86729302559197341,0.028334324171363473,0.10737978415415601,6.2868695695363333e+51,8.378178993532269e+51,1.1087356759332777e+51,8.954842972886159e+49,3.6898845464566977e+47,1.4114186516231503e+47,4.0979450194423411e+45,1.3189411712410733e+38,114894.575417863
