# Intermediate legacy extraction. No age axis is present.
# Do not use directly as a time-dependent canonical table.
source,channel,initial_mass,birth_metallicity,wind_mass,wind_fraction,net_H,net_He,net_C,net_N,net_O,net_Ne,net_Mg,net_Si,net_S,net_Ca,net_Fe,net_Z_TOTAL
/home/kjhan/BACKUP/Eunha.A1/LagEunha/src/AstroModules/SW_yield/agb_yields.h,2,3.25000000000000000e+00,7.00000000000000015e-03,2.52199999999999980e+00,7.76000000000000023e-01,-1.08485999999999999e-01,9.38979999999999954e-02,2.35123900000000011e-02,1.82078600000000002e-03,-9.40865700000000061e-05,3.17510699999999993e-03,3.53486699999999991e-04,4.46878700000000008e-05,9.29302999999999935e-06,-1.06441700000000001e-05,1.96508699999999991e-04,1.45880000000000003e-02
/home/kjhan/BACKUP/Eunha.A1/LagEunha/src/AstroModules/SW_yield/agb_yields.h,2,3.50000000000000000e+00,7.00000000000000015e-03,2.73399999999999999e+00,7.81000000000000028e-01,-9.15819999999999967e-02,7.99399999999999972e-02,2.19117300000000008e-02,1.93878900000000001e-03,6.07477600000000003e-06,2.92533700000000008e-03,4.36822399999999987e-04,5.47345499999999993e-05,9.37943300000000063e-06,-1.17274700000000004e-05,2.08535499999999989e-04,1.16419999999999996e-02
/home/kjhan/BACKUP/Eunha.A1/LagEunha/src/AstroModules/SW_yield/agb_yields.h,2,3.75000000000000000e+00,7.00000000000000015e-03,2.94799999999999995e+00,7.86000000000000032e-01,-7.66239999999999977e-02,6.92559999999999981e-02,1.90548000000000002e-02,1.96101999999999995e-03,1.50550000000000000e-04,2.67972000000000002e-03,5.07940000000000019e-04,6.47500000000000018e-05,9.92500000000000069e-06,-1.26895999999999996e-05,2.21320000000000002e-04,7.36800000000000042e-03
/home/kjhan/BACKUP/Eunha.A1/LagEunha/src/AstroModules/SW_yield/agb_yields.h,2,4.00000000000000000e+00,7.00000000000000015e-03,3.15099999999999980e+00,7.88000000000000034e-01,-7.16730000000000006e-02,6.87979999999999980e-02,1.77862300000000001e-02,2.25978700000000008e-03,-8.56561200000000028e-05,8.97373600000000017e-04,4.34976899999999986e-04,6.56527599999999999e-05,1.15701600000000004e-05,-1.31862400000000003e-05,2.45757600000000027e-04,2.87499999999999995e-03
/home/kjhan/BACKUP/Eunha.A1/LagEunha/src/AstroModules/SW_yield/agb_yields.h,2,4.25000000000000000e+00,7.00000000000000015e-03,3.39100000000000001e+00,7.98000000000000043e-01,-1.08433000000000002e-01,1.03900999999999993e-01,1.67833499999999990e-02,6.02931900000000000e-03,-2.71440399999999991e-04,9.74283399999999970e-04,4.83009800000000012e-04,7.35241000000000030e-05,1.22308699999999997e-05,-1.42549300000000001e-05,2.62730999999999989e-04,4.53199999999999957e-03
/home/kjhan/BACKUP/Eunha.A1/LagEunha/src/AstroModules/SW_yield/agb_yields.h,2,4.50000000000000000e+00,7.00000000000000015e-03,3.62699999999999978e+00,8.06000000000000050e-01,-2.14321000000000011e-01,1.85799999999999993e-01,-1.44565499999999990e-04,4.70555699999999980e-02,-1.33559299999999994e-03,2.14221600000000017e-03,8.01458700000000032e-04,1.04939900000000001e-04,9.38423900000000073e-06,-1.62520600000000004e-05,2.56559300000000002e-04,2.85210000000000012e-02
/home/kjhan/BACKUP/Eunha.A1/LagEunha/src/AstroModules/SW_yield/agb_yields.h,2,4.75000000000000000e+00,7.00000000000000015e-03,3.86699999999999999e+00,8.13999999999999946e-01,-2.57630999999999999e-01,2.31089999999999990e-01,-6.72096099999999991e-04,4.81304099999999985e-02,-2.56145700000000006e-03,2.04307600000000001e-03,8.18561599999999973e-04,1.13341300000000005e-04,1.03919400000000007e-05,-1.72135600000000013e-05,2.75532700000000012e-04,2.65409999999999986e-02
/home/kjhan/BACKUP/Eunha.A1/LagEunha/src/AstroModules/SW_yield/agb_yields.h,2,5.00000000000000000e+00,7.00000000000000015e-03,4.10500000000000043e+00,8.20999999999999952e-01,-3.06584999999999996e-01,2.80210000000000015e-01,2.28289599999999983e-05,4.93094700000000011e-02,-3.61741500000000013e-03,1.94315200000000007e-03,8.87312499999999972e-04,1.22824900000000011e-04,1.10094800000000005e-05,-1.82470200000000014e-05,2.91288500000000015e-04,2.63749999999999991e-02
/home/kjhan/BACKUP/Eunha.A1/LagEunha/src/AstroModules/SW_yield/agb_yields.h,2,5.50000000000000000e+00,7.00000000000000015e-03,4.57899999999999974e+00,8.32999999999999963e-01,-3.79357000000000000e-01,3.59860000000000013e-01,-1.42546499999999989e-03,4.87945300000000026e-02,-5.74507499999999966e-03,1.56649099999999993e-03,8.24112299999999994e-04,1.32244299999999997e-04,1.40603899999999994e-05,-1.98741100000000007e-05,3.36572499999999997e-04,1.94970000000000004e-02
/home/kjhan/BACKUP/Eunha.A1/LagEunha/src/AstroModules/SW_yield/agb_yields.h,2,6.00000000000000000e+00,7.00000000000000015e-03,5.04399999999999959e+00,8.40999999999999970e-01,-4.36041999999999985e-01,4.32950000000000002e-01,-2.14715400000000008e-03,3.83135299999999984e-02,-7.47126299999999969e-03,8.87013999999999988e-04,6.96423399999999970e-04,1.27263700000000013e-04,1.81920599999999987e-05,-2.11409399999999989e-05,3.88027299999999984e-04,3.09200000000000013e-03
